CODIGO DE BARRA;LABORATORIO;DESCRIPCION;STOCK;PRECIO_BS
7,59635E+12;DPT;9 VIT INFUSION MULTIVITAMINICA AMP I.V (DPT) FV. 05/2026;1681;580.9815
7,50112E+12;CARNOT;ACET DE MEDROXIPROGESTERONA 25MG + CIPIONATO DE ESTRADIOL 5MG (MENSILLE) AMP I.M X 0.5ML (CARNOT) FV.01/2026;13;356.7080
7,59898E+12;JMW;ACICLOVIR 250MG AMP I.V (JMW) FV. 08/2026;104;133.1000
7,70724E+12;VITALIS;ACICLOVIR 250MG AMP I.V (VITALIS) FV. 02/2027;72;310.7885
7,59961E+12;LABORATORIO ZUZU;ACIDO ASCORBICO 500MG/2ML (VITAMINA C) AMP I.M/I.V (ZUZU) FV. 10/2026;632;28.6165
7,59813E+12;BLUE MEDICAL;ACIDO ASCORBICO 500MG/5ML (VITAMINA C) AMP I.V/I.M (BLUE MEDICAL) FV. 09/2026;1277;36.6025
6,92188E+12;KMPLUS;ACIDO ASCORBICO 500MG/5ML (VITAMINA C) AMP I.V/I.M (KMPLUS) FV. 04/2026;370;45.9195
8,90419E+12;BIOS-VITA;ACIDO ASCORBICO 500MG/5ML AMP I.M/I.V (BIOS-VITA) F.V 06/2027;442;47.9160
8,90615E+12;MEDVAL;ACIDO FOLICO 10MG/2ML (FOLIVEN) AMP I.V (MEDVAL) F.V 05/2026;566;110.4730
7,36373E+11;GLOBAL MEDIC;ACIDO FOLICO 10MG/2ML AMP I.V/I.M (GLOBAL MEDIC) F.V 03/2026;20;113.1350
6,94806E+12;AMPOLLAS;ACIDO HIALURONICO 25MG (HYPROJOINT) AMP I.A. JERINGA PRELLENADA X 2.5 ML (OTHEPHARMA) FV. 06/2026;15;3334.8205
8,90431E+12;WELLONA PHARMA;ACIDO TRANEXAMICO 500MG/5ML (TREXAWELL) AMP I.V. (WELLONA PHARMA) F.V 08/2025;10;71.2085
8,90416E+12;ADN DESCUENTO;ACIDO TRANEXAMICO 500MG/5ML AMP I.V (ADN MEDICAL) F.V 02/2027;839;70.8092
7,30171E+11;KMPLUS;ACIDO TRANEXAMICO 500MG/5ML AMP I.V (KMPLUS) FV. 09/2026;292;95.8320
8,90419E+12;CR MEDICARE;ADRENALINA 1MG/1ML (ADRENAX) AMP I.V/I.M (MEDICARE) F.V 07/2027;908;40.5955
7,5911E+12;BIOSANO;ADRENALINA 1MG/1ML AMP I.V/I.M (BIOSANO) F.V 09/2026;200;48.5815
AMP00797;MIFAR;ADRENALINA 1MG/1ML AMP I.V/I.M (MIFAR) F.V 02/2026;1932;89.1770
7,50113E+12;PISA;AGUA ESTERIL INYECTABLE FRASCO X 500ML (PISA) FV. 08/2028;3;383.9935
8,908E+12;KMPLUS;AMIKACINA 100MG/2ML AMP I.V/I.M (KMPLUS) FV. 06/2026;101;47.9160
8,90611E+12;ADN DESCUENTO;AMIKACINA 500MG/2ML (AMICOPRA) AMP I.V/I.M (ADN MEDICAL) F.V 03/2026;342;73.3381
7,59264E+12;BEHRENS;AMIKACINA 500MG/2ML (BEHKACIN) AMP I.V/I.M (BEHRENS) FV. 05/2026;4;198.3190
7,59846E+12;BIOGLASS;AMIKACINA 500MG/2ML (BIOKACIN) AMP I.V/I.M (BIOGLASS) FV. 03/2027;490;71.2085
8,90419E+12;CR MEDICARE;AMIKACINA 500MG/2ML (MEDKACIN) AMP I.V/I.M (MEDICARE) FV.05/2026;147;70.5430
7,36372E+11;GLOBAL MEDIC;AMIKACINA 500MG/2ML AMP I.V/I.M (GLOBAL MEDIC) FV. 12/2025;688;81.1910
6,94219E+12;KMPLUS;AMIKACINA 500MG/2ML AMP I.V/I.M (KMPLUS) FV. 09/2025;557;40.5955
7,59281E+12;RONAVA;AMIKACINA 500MG/2ML AMP I.V/I.M (RONAVA) FV. 08/2027;4;205.6395
7,59281E+12;RONAVA;AMIKACINA 500MG/2ML VIAL I.V/I.M (RONAVA) FV. 06/2027;25;292.1545
7,59264E+12;BEHRENS;AMINOACIDOS CRIST. AL 3% + GLICEROL AL 3% CON ELECTR. (GLICERAMIN) SOL INY X 500ML (BEHRENS) FV. 12/2027;1;2159.5475
7,80006E+12;BIOSANO;AMIODARONA 150MG/3ML AMP I.V (BIOSANO) FV. 12/2026;134;74.5360
8,90613E+12;BRIXMEDIC;AMIODARONA 150MG/3ML AMP I.V (BRIXMEDIC) FV. 08/2026;21;72.5395
7,59898E+12;JMW;AMIODARONA 150MG/3ML AMP I.V (JMW) FV. 09/2026;84;55.9020
7,91467E+11;DPT;AMPICILINA + SULBACTAM 1.5GR AMP I.V/I.M (DPT) F.V 11/2026;144;89.1770
8,90601E+12;VIDA LABS;AMPICILINA + SULBACTAN 1.5GR (UNACILYN) AMP I.V/I.M (VIDA LABS) F.V 01/2027;531;73.8705
7,5999E+12;AXA PARENTERALS;AMPICILINA 1GR + AGUA ESTERIL (IMPAXCIN) AMP I.V/I.M (AXA PARENTERALS) FV. 11/2025;60;129.7725
7,70236E+11;VITALIS;AMPICILINA 500MG AMP I.V/I.M (VITALIS) FV. 03/2027;20;87.8460
8,90615E+12;MEDVAL;ATENOLOL 5MG/10ML (TENELOL IV) AMP I.V (MEDVAL) FV. 03/2026;35;235.5870
8,90419E+12;CR MEDICARE;ATROPINA 0.5MG/ML (ATROMED) AMP I.V/I.M/S.C (MEDICARE) FV. 07/2027;200;20.6305
8,90611E+12;ADN DESCUENTO;ATROPINA 1MG/1ML (ATROPRA) AMP I.V/I.M (ADN MEDICAL) F.V 09/2026;419;19.5990
8,90419E+12;CR MEDICARE;AZITROMICINA 500MG (ZITROMIN) AMP I.V (MEDICARE) FV. 07/2027;41;403.2930
7,70724E+12;VITALIS;AZTREONAM 1GR AMP I.V/I.M (VITALIS) F.V 02/2027;48;710.0885
6,92188E+12;ALFA;BENCILPENICILINA BENZATINICA 2.400.000 UI AMP I.M. (ALFA) FV. 12/2025;319;36.6025
7,70718E+12;FARMIONNI;BETAMETASONA 4MG/1ML AMP I.V/I.M (FARMIONNI) FV 05/2025;1059;22.2543
7,70718E+12;FARMIONNI;BETAMETASONA 8MG/2ML AMP I.V/I.M (FARMIONNI) F.V 11/2025;200;29.2820
1,77093E+13;BIOESTERIL;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (BIOESTERIL) F.V 05/2026;236;65.2190
8,90419E+12;BIOS-VITA;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (BIOS-VITA) F.V 02/2027;29;62.5570
7,56059E+11;GLOBAL MEDIC;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (GLOBAL MEDIC) F.V 05/2026;10;63.2225
7,70724E+12;VITALIS;BROMURO DE HIOSCINA 20MG/1ML AMP I.V/I.M (VITALIS) FV. 03/2027;643;82.5220
7,36373E+11;GLOBAL MEDIC;BROMURO DE HIOSCINA 20MG/5ML + DIPIRONA 2.5MG AMP I.V/I.M (GLOBAL MEDIC) FV. 12/2025;40;93.8355
7,59264E+12;BEHRENS;BROMURO DE HIOSCINA 20MG/ML (HIOSFEM) AMP I.V/I.M (BEHRENS) FV. 01/2028;127;155.0615
8,90611E+12;ANDILAB;BROMURO DE HIOSCINA 20MG/ML AMP I.V/I.M/S.C. (ANDILAB) FV. 02/2027;301;63.2225
7,70729E+12;ADS PHARM;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (ADS PHARM) FV. 08/2026;200;613.5910
7,80006E+12;BIOSANO;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (BIOSANO) F.V 08/2026;1;702.7680
;VITALIS;BROMURO DE ROCURONIO 50MG/5ML AMP I.V (VITALIS) F.V 07/2027;100;739.3705
7,70724E+12;VITALIS;BROMURO VECURONIO 4MG AMP I.V (VITALIS) F.V 08/2027;39;203.6430
7,59196E+12;ROWE;BUMETANIDA 0.5MG/2ML (BUMELEX) AMP I.M/I.V CJ X 3 AMP (ROWE) FV. 02/2028;30;576.9885
7,59846E+12;BIOGLASS;BUPIVACAINA 15MG + DEXTROSA ANHIDRA 240MG (BUPIGLASS HIPERBARA) AMP ESPINAL X 3ML (BIOGLASS) FV. 04/2026;90;258.2140
7,80006E+12;BIOSANO;BUPIVACAINA HIPERBARICA 0.75%/2ML AMP EPIDURAL (BIOSANO) FV. 07/2026;125;212.2945
7,50113E+12;PISA;BUPIVACAINA SIMPLE 150MG/30ML (BUVACAINA) AMP EPIDURAL X 30ML (PISA) F.V 08/2025;42;318.1090
7,80006E+12;BIOSANO;BUPIVACAINA SIMPLE 50MG/10ML AMP EPIDURAL (BIOSANO) FV. 01/2027;189;177.6885
